GEOID,POSITIVE,DEATHS,HOSP_YES
55087012505,565,,15.0
55087012506,436,5.0,21.0
55079018600,448,,24.0
55139002400,1084,8.0,45.0
55139000100,279,,19.0
55139001100,451,17.0,37.0
55139002000,793,10.0,35.0
55139003702,887,11.0,23.0
55139002300,547,,26.0
55139000200,219,,18.0
55139000400,284,,16.0
55139003000,135,,9.0
55139002100,313,,10.0
55139000500,773,9.0,42.0
55139001900,527,,20.0
55139000900,328,,24.0
55139000800,334,,16.0
55139002601,479,12.0,33.0
55139000700,511,,5.0
55087012602,493,,21.0
55087012601,1080,8.0,36.0
55087012901,781,,24.0
55087012504,412,,12.0
55087012503,416,,7.0
55079003500,345,8.0,30.0
55139003100,166,,
55139003300,267,,9.0
55133203306,629,13.0,41.0
55139003400,462,,24.0
55139003500,284,,15.0
55025012501,396,5.0,19.0
55025013700,389,8.0,13.0
55079017900,266,,5.0
55111000600,616,,22.0
55111000800,279,5.0,11.0
55111000500,351,,13.0
55111000300,651,,32.0
55111000700,251,,7.0
55111000100,766,6.0,35.0
55111000900,363,,29.0
55111001100,275,,10.0
55111000200,401,,17.0
55079017300,757,5.0,44.0
55079017200,504,,26.0
55079017400,450,,35.0
55079017500,612,6.0,36.0
55059000800,313,,23.0
55059002700,512,8.0,29.0
55059002800,479,5.0,23.0
55059000100,471,,17.0
55089650102,254,,10.0
55127000102,246,,12.0
55127000301,188,,9.0
55127001702,407,,12.0
55127001604,471,,16.0
55127001701,419,,19.0
55127000701,419,8.0,25.0
55127001501,257,,12.0
55127000702,505,9.0,41.0
55127001502,435,,18.0
55127000902,267,,8.0
55089650200,505,8.0,28.0
55063010101,481,,16.0
55063001200,337,,11.0
55063010402,944,,42.0
55063010700,425,7.0,23.0
55063010203,166,,9.0
55063000300,329,,24.0
55063010401,559,,14.0
55063000400,1020,,15.0
55063000200,478,,28.0
55063010600,343,,10.0
55063010201,1098,6.0,40.0
55063000100,469,,26.0
55063010800,284,,5.0
55063000700,414,,16.0
55063010102,513,13.0,16.0
55063010300,444,,16.0
55063000600,180,,
55011960400,259,,10.0
55011960500,307,,13.0
55011960300,208,,16.0
55011960200,325,,17.0
55011960100,237,,9.0
55079017600,501,5.0,33.0
55063000500,631,,13.0
55063000800,406,,5.0
55063000900,401,8.0,16.0
55063001000,414,8.0,14.0
55063001101,174,,
55141011300,455,,19.0
55067960300,245,,7.0
55067960400,329,,22.0
55067960100,337,,20.0
55067960500,170,,9.0
55067960700,490,20.0,37.0
55073001300,751,6.0,32.0
55073002000,410,,32.0
55073001500,442,,18.0
55073002300,705,13.0,47.0
55141010300,306,,19.0
55141010800,242,,12.0
55067960600,404,6.0,23.0
55141011600,461,,13.0
55141011100,318,,10.0
55141010900,382,,16.0
55141010700,488,,15.0
55141011700,439,7.0,17.0
55141011200,318,,8.0
55141010100,445,,19.0
55141011400,488,13.0,29.0
55141010400,320,9.0,18.0
55141010200,490,,12.0
55141010500,355,6.0,13.0
55127001602,580,14.0,23.0
55127000800,367,5.0,28.0
55127001000,427,17.0,26.0
55079003600,177,,15.0
55079018500,178,,12.0
55121100500,286,5.0,8.0
55121100700,580,6.0,19.0
55121100300,304,,10.0
55121100600,730,,25.0
55121100800,409,5.0,18.0
55121100400,395,9.0,24.0
55121100200,323,,9.0
55121100100,391,8.0,17.0
55035000302,815,,30.0
55035000502,484,,22.0
55035001500,412,,17.0
55035000200,562,,20.0
55035001300,591,14.0,27.0
55035001600,602,5.0,14.0
55035000501,532,,13.0
55035000100,330,10.0,27.0
55035000600,592,7.0,23.0
55035000700,527,,12.0
55035000400,930,22.0,37.0
55035000301,403,,19.0
55035000801,311,,11.0
55035000802,404,,13.0
55039040900,407,8.0,31.0
55039041000,349,6.0,29.0
55039042000,1548,23.0,73.0
55039041800,632,6.0,50.0
55041950100,107,,5.0
55041950400,267,5.0,18.0
55041950300,251,8.0,12.0
55041950200,287,9.0,22.0
55123960100,249,,6.0
55123960500,167,,9.0
55123960700,285,,14.0
55123960200,203,,14.0
55123960400,357,21.0,19.0
55123960600,326,,11.0
55123960300,292,,9.0
55039040100,484,,23.0
55039041100,1141,13.0,66.0
55039041700,440,,17.0
55039042100,535,5.0,22.0
55039040500,468,5.0,44.0
55039041500,275,,23.0
55039040700,600,6.0,38.0
55039040300,645,9.0,53.0
55039041400,686,5.0,34.0
55039040400,376,,22.0
55039040800,513,,21.0
55039041600,508,7.0,36.0
55039042200,709,,27.0
55039041900,874,5.0,41.0
55039041300,911,10.0,68.0
55039040200,302,5.0,22.0
55087012300,172,,8.0
55087012400,375,,11.0
55029100500,292,,13.0
55029100900,138,,8.0
55029101000,257,6.0,11.0
55029100700,439,,24.0
55029100300,193,,
55029100400,201,,8.0
55029100600,309,,12.0
55063001102,324,11.0,27.0
55063010202,743,,24.0
55063010500,584,8.0,25.0
55133203602,580,,19.0
55133204200,676,6.0,39.0
55133204400,187,,12.0
55031020700,413,9.0,26.0
55033970700,744,7.0,24.0
55033970100,373,,20.0
55033970200,537,,22.0
55033970400,662,,27.0
55033970600,413,,28.0
55033970300,524,,12.0
55025001604,1848,,6.0
55025010502,580,,19.0
55025011402,895,11.0,36.0
55025012502,892,7.0,22.0
55025010904,626,,14.0
55025013302,368,,13.0
55025001603,1305,,
55017011200,873,10.0,29.0
55017010500,890,12.0,32.0
55017011100,419,,19.0
55079015900,602,6.0,46.0
55079015800,411,5.0,26.0
55009001702,477,,28.0
55009020204,605,,21.0
55079016100,596,,33.0
55005001001,199,,
55001950202,212,,8.0
55001950502,250,,12.0
55001950201,90,,7.0
55017010200,834,24.0,37.0
55031020600,364,,14.0
55031020900,197,,9.0
55031020500,228,,9.0
55031020300,236,,12.0
55079019800,585,6.0,33.0
55079020000,498,5.0,39.0
55079091400,213,,
55079019700,679,,35.0
55101001801,493,16.0,25.0
55117010601,755,15.0,37.0
55117011400,254,5.0,19.0
55029100100,178,,
55109120904,311,,10.0
55109120502,556,,34.0
55109120201,491,,18.0
55109120901,396,18.0,41.0
55109120501,588,7.0,31.0
55109120903,803,6.0,32.0
55117000202,441,5.0,28.0
55117010602,415,,26.0
55117000201,297,,13.0
55117010501,858,7.0,37.0
55117010502,395,10.0,29.0
55109120202,413,,14.0
55093960300,473,,9.0
55095960800,750,,25.0
55095960200,402,5.0,26.0
55095960300,494,,26.0
55095960900,510,,18.0
55095960500,266,,14.0
55095960600,247,,15.0
55095960700,540,,11.0
55095960100,301,5.0,20.0
55095961000,597,23.0,32.0
55095961100,476,,16.0
55087012902,378,,8.0
55053960400,388,,12.0
55053960500,549,13.0,27.0
55053960100,1000,9.0,31.0
55053960300,374,,17.0
55053960200,336,,21.0
55051180300,168,,16.0
55051180100,301,17.0,19.0
55057100200,374,,13.0
55051180200,90,,
55057100100,231,,21.0
55057100500,514,7.0,34.0
55057100600,352,,26.0
55057100700,387,5.0,31.0
55057100400,1046,,49.0
55025000503,641,5.0,26.0
55025000504,502,,8.0
55025000600,948,,37.0
55025000700,120,,
55025000800,125,,
55025001000,87,,
55133201402,505,37.0,46.0
55133201503,613,6.0,27.0
55079186100,184,,25.0
55079186300,765,,13.0
55079185300,399,,12.0
55071000500,234,,8.0
55071000700,590,13.0,36.0
55071000800,414,5.0,21.0
55127000302,513,6.0,23.0
55133201504,638,6.0,26.0
55133201506,614,11.0,28.0
55133201701,602,9.0,45.0
55133202201,432,6.0,15.0
55071005300,185,,14.0
55071000100,443,,29.0
55133200103,311,,9.0
55089630201,414,5.0,20.0
55089650101,526,5.0,22.0
55089640100,556,11.0,33.0
55133200901,401,,16.0
